Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Capacity,Pax,Timestring,Delay,DelayType
T00,F00,C00,ORD,ATL,28020,32412,4392,6,0,07:47 -> 09:00,02:00,1
T00,F01,C00,ATL,ORD,37535,41927,4392,6,4,10:25 -> 11:38,,0
T00,F02,C00,ORD,ATL,63902,68294,4392,6,4,17:45 -> 18:58,,0
T00,F03,C00,ATL,ORD,81550,85942,4392,6,4,22:39 -> 23:52,02:00,1
T01,F09,C03,ORD,LAX,27660,40269,12609,6,6,07:41 -> 11:11,02:00,1
T01,F10,C03,LAX,ORD,42069,54678,12609,6,6,11:41 -> 15:11,00:34,2
T01,F06,C04,ORD,LAX,65711,78320,12609,6,4,18:15 -> 21:45,,0
T02,F07,C02,LAX,ORD,20880,33489,12609,8,6,05:48 -> 09:18,,0
T02,F08,C02,ORD,LAX,54799,67408,12609,8,6,15:13 -> 18:43,,0
T03,F04,C01,ORD,ATL,20820,25212,4392,8,8,05:47 -> 07:00,00:13,2
T03,F05,C01,ATL,ORD,42687,47079,4392,8,4,11:51 -> 13:04,,0
T03,F11,C01,ORD,LAX,55072,67681,12609,8,6,15:17 -> 18:48,,0
