index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,Delay,DelayType
0,T00,F00,C00,ORD,ATL,28020.0,32412.0,4392.0,2591.999999663862,976,6,0,07:47 -> 09:00,02:00,1
1,T00,F01,C00,ATL,ORD,37535.0,41927.0,4392.0,2591.999999655669,976,6,4,10:25 -> 11:38,,0
2,T00,F02,C00,ORD,ATL,63902.0,68294.0,4392.0,2592.0,976,6,4,17:45 -> 18:58,,0
3,T00,F03,C00,ATL,ORD,81550.0,85942.0,4392.0,2592.0,976,6,4,22:39 -> 23:52,02:00,1
4,T01,F09,C03,ORD,LAX,27660.0,40269.0,12609.0,10808.999997878771,2802,6,6,07:41 -> 11:11,02:00,1
5,T01,F10,C03,LAX,ORD,42069.0,54678.0,12609.0,10808.999998453743,2802,6,6,11:41 -> 15:11,00:34,2
6,T01,F06,C01,ORD,LAX,65711.0,78320.0,12609.0,10808.99999803244,2802,6,4,18:15 -> 21:45,,0
7,T02,F07,C02,LAX,ORD,20880.0,33489.0,12609.0,10808.999997985331,2802,8,6,05:48 -> 09:18,,0
8,T02,F08,C02,ORD,LAX,54799.0,67408.0,12609.0,10808.999998599564,2802,8,6,15:13 -> 18:43,,0
9,T03,F04,C01,ORD,ATL,20820.0,25212.0,4392.0,2591.9999996554857,976,8,8,05:47 -> 07:00,00:13,2
10,T03,F05,C01,ATL,ORD,42687.0,47079.0,4392.0,2591.999999658266,976,8,4,11:51 -> 13:04,,0
11,T03,F11,C04,ORD,LAX,55072.0,67681.0,12609.0,10808.9999983437,2802,8,6,15:17 -> 18:48,,0
