Rec_itin,Skd_itin,Rec_flights,Skd_flights,Pax,From,To,RDT,RAT,Arr_delay,Cost,Rec_string
I00,I00,F00,F00,128,MCO,PHL,19860.0,26106.0,0.0,0.0,05:31 -> 07:15
I01,I01,F01,F01,128,PHL,MCO,41754.0,48000.0,0.0,0.0,11:35 -> 13:20
I02,I02,F02,F02,128,MCO,DTW,66098.99999999996,73041.99999999996,0.0,0.0,18:21 -> 20:17
I03,I03,F03,F03,128,DTW,ATL,84480.0,88791.0,0.0,0.0,23:28 -> 00:39 (+1)
I04,I04,F04,F04,96,PHX,ATL,19980.0,31450.0,0.0,0.0,05:33 -> 08:44
I05,I05,F05,F05,96,ATL,DEN,66024.93880720779,74691.93880720779,9382.938807207785,15376.0,18:20 -> 20:44
I06,I06,F06,F06,128,EWR,DTW,20759.999999999985,24282.999999999985,0.0,0.0,05:45 -> 06:44
I07,I07,F07,F07,128,DTW,EWR,44847.99999999997,48370.99999999997,0.0,0.0,12:27 -> 13:26
I08,I08,F08,F08,128,EWR,MIA,74783.99999999996,82658.99999999996,0.0,0.0,20:46 -> 22:57
I09,I09,F09,F09,128,MIA,IAH,84498.0,91468.0,0.0,0.0,23:28 -> 01:24 (+1)
I10,I10,F10,F10,160,CLT,EWR,20220.0,24045.0,0.0,0.0,05:37 -> 06:40
I11,I11,F11,F11,160,EWR,CLT,44415.0,48240.0,0.0,0.0,12:20 -> 13:24
I12,I12,F12,F12,160,CLT,MCO,84007.99999999996,87404.99999999996,0.0,0.0,23:20 -> 00:16 (+1)
I13,I13,F13,F13,56,BOS,ATL,20399.999999999985,27243.999999999985,0.0,0.0,05:39 -> 07:34
I14,I14,F14,F14,96,ATL,JFK,62007.0,67506.0,0.0,0.0,17:13 -> 18:45
I15,I15,F15,F15,96,JFK,DFW,82468.99999999996,92521.99999999996,0.0,0.0,22:54 -> 01:42 (+1)
I16,I16,F16,F16,128,ORD,MCO,19920.0,27210.0,0.0,0.0,05:32 -> 07:33
I17,I17,F17,F17,128,MCO,ORD,41258.26525412395,48548.26525412395,7134.265254123951,15588.1,11:27 -> 13:29
I18,I18,F18,F18,128,ORD,CLT,49415.0,53753.0,3457.0,7553.4,13:43 -> 14:55
I19,I19,F19,F19,128,CLT,JFK,80750.0,84665.0,0.0,0.0,22:25 -> 23:31
I20,I20,F20,F20,128,EWR,DEN,32057.61625635139,43649.61625635139,11357.616256351394,24815.9,08:54 -> 12:07
I21,I21,F21,F21,128,DEN,JFK,65450.99999999997,77190.99999999997,0.0,0.0,18:10 -> 21:26
I22,I22,F22,F22,96,ATL,EWR,21631.578049548967,27026.578049548967,1351.578049548967,2214.9,06:00 -> 07:30
I23,I23,F23,F23,96,EWR,DTW,54649.0,58172.0,0.0,0.0,15:10 -> 16:09
I24,I24,F24,F24,96,DTW,EWR,83832.0,87355.0,0.0,0.0,23:17 -> 00:15 (+1)
I25,I25,F25,F25,96,DFW,SFO,20999.99999999998,31578.99999999998,0.0,0.0,05:49 -> 08:46
I26,I26,F26,F26,96,SFO,DFW,37472.0,48051.0,0.0,0.0,10:24 -> 13:20
I27,I27,F27,F27,96,DFW,SFO,78368.0,88947.0,0.0,0.0,21:46 -> 00:42 (+1)
I28,I28,F28,F28,96,DFW,LAX,20700.0,29623.0,0.0,0.0,05:45 -> 08:13
I29,I29,F29,F29,96,LAX,DFW,63467.0,72390.0,0.0,0.0,17:37 -> 20:06
I30,I30,F30,F30,128,ORD,JFK,20220.0,25561.0,0.0,0.0,05:37 -> 07:06
I31,I31,F31,F31,128,JFK,ORD,42274.0,47615.0,0.0,0.0,11:44 -> 13:13
I32,I32,F32,F32,128,ORD,PHX,65390.0,75798.0,0.0,0.0,18:09 -> 21:03
I33,I33,F33,F33,160,DEN,JFK,20160.0,31900.0,0.0,0.0,05:36 -> 08:51
I34,I34,F34,F34,160,JFK,DFW,56826.0,66879.0,0.0,0.0,15:47 -> 18:34
I35,I35,F35,F35,68,MCO,DTW,20880.0,27823.0,0.0,0.0,05:48 -> 07:43
I36,I36,F36,F36,128,DTW,ATL,51816.0,56127.0,0.0,0.0,14:23 -> 15:35
I37,I37,F37,F37,128,ATL,DTW,73588.99999999996,77899.99999999996,0.0,0.0,20:26 -> 21:38
I38,I38,F35-F38,F35-F38,60,MCO,DFW,20880.0,91448.0,0.0,0.0,05:48 -> 01:24 (+1)
I39,I39,F38,F38,68,DTW,DFW,84311.0,91448.0,0.0,0.0,23:25 -> 01:24 (+1)
I40,I40,F39,F39,52,ATL,ORD,20940.0,25332.0,0.0,0.0,05:49 -> 07:02
I41,I41,F40,F40,52,ORD,ATL,35320.0,39712.0,0.0,0.0,09:48 -> 11:01
I42,I42,F41,F41,96,ATL,MIA,71450.99999999996,75765.99999999996,0.0,0.0,19:50 -> 21:02
