index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,Delay
0,T00,F00,C00,SFO,LAS,19860.0,22848.0,2988.0,1187.9999984095286,664,120,96,05:31 -> 06:20,
1,T00,F01,C00,LAS,PHX,25133.0,26978.0,1845.0,44.99999999625013,410,120,96,06:58 -> 07:29,
2,T00,F02,C00,PHX,DEN,29478.0,33834.0,4356.0,2555.9999957442305,968,120,96,08:11 -> 09:23,
3,T00,F03,C00,DEN,DFW,36540.0,41184.0,4644.0,2843.999995158272,1032,120,96,10:09 -> 11:26,
4,T00,F04,C00,DFW,ATL,43956.0,49239.0,5283.0,3482.9999938342094,1174,120,96,12:12 -> 13:40,
5,T00,F05,C00,ATL,DFW,51605.0,56888.0,5283.0,3482.9999938335764,1174,120,96,14:20 -> 15:48,
6,T00,F06,C00,DFW,JFK,59209.0,69262.0,10053.0,8252.999982361913,2234,120,96,16:26 -> 19:14,
7,T00,F07,C01,JFK,ORD,72028.0,77369.0,5341.0,3540.9999937134708,1187,120,96,20:00 -> 21:29,
8,T00,F08,C01,ORD,CLT,80158.0,84496.0,4338.0,2537.999995780607,964,120,96,22:15 -> 23:28,
9,T00,F09,C01,CLT,ORD,87337.0,91675.0,4338.0,2537.9999957807736,964,120,96,00:15 (+1) -> 01:27 (+1),
10,T01,F10,C02,DFW,DEN,20040.0,24684.0,4644.0,2843.9999951581462,1032,120,96,05:34 -> 06:51,
11,T01,F11,C02,DEN,ATL,26580.0,35247.0,8667.0,6866.999986060721,1926,120,96,07:23 -> 09:47,
12,T01,F12,C02,ATL,ORD,37708.0,42100.0,4392.0,2591.99999567131,976,120,96,10:28 -> 11:41,
13,T01,F13,C02,ORD,LAX,45056.0,57665.0,12609.0,10808.999975087536,2802,120,96,12:30 -> 16:01,
14,T01,F14,C03,LAX,ORD,60180.0,72789.0,12609.0,10808.99997501858,2802,120,96,16:43 -> 20:13,
15,T01,F15,C03,ORD,LAX,74937.0,87546.0,12609.0,10808.999975012779,2802,120,96,20:48 -> 00:19 (+1),
