Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Capacity,Pax,Timestring,Delay,DelayType
T00,F00,C00,SFO,DFW,19860.0,30439.0,10579.0,160,128,05:31 -> 08:27,,0
T00,F01,C00,DFW,JFK,46087.0,56140.0,10053.0,160,128,12:48 -> 15:35,,0
T00,F02,C01,JFK,ATL,77891.0,83390.0,5499.0,160,128,21:38 -> 23:09,,0
T01,F03,C02,ORD,CLT,20340.0,24678.0,4338.0,200,160,05:39 -> 06:51,,0
T01,F04,C02,CLT,JFK,55564.0,59479.0,3915.0,200,160,15:26 -> 16:31,,0
T01,F05,C00,JFK,DFW,72092.0,82145.0,10053.0,200,160,20:01 -> 22:49,,0
T02,F06,C03,ATL,DFW,19920.0,25203.0,5283.0,200,160,05:32 -> 07:00,,0
T02,F07,C03,DFW,ATL,55212.0,60495.0,5283.0,200,160,15:20 -> 16:48,,0
T03,F08,C04,LAX,DFW,20160.0,29083.0,8923.0,160,128,05:36 -> 08:04,,0
T03,F09,C04,DFW,LAX,58357.0,67280.0,8923.0,160,128,16:12 -> 18:41,,0
T04,F18,C08,LAX,DEN,20400.0,26632.0,6232.0,160,128,05:40 -> 07:23,,0
T04,F19,C11,DEN,ATL,60897.54340234036,69564.54340234035,8666.999999999993,160,128,16:54 -> 19:19,03:01,1
T04,F12,C03,ATL,ORD,79759.0,84151.0,4392.0,160,128,22:09 -> 23:22,,0
T05,F13,C06,ORD,JFK,19860.0,25201.0,5341.0,120,96,05:31 -> 07:00,,0
T05,F14,C06,JFK,ORD,43298.0,48639.0,5341.0,120,96,12:01 -> 13:30,,0
T05,F15,C06,ORD,LAX,76349.0,88958.0,12609.0,120,96,21:12 -> 00:42 (+1),,0
T06,F16,C07,JFK,ORD,20760.0,26101.0,5341.0,160,128,05:46 -> 07:15,,0
T06,F17,C07,ORD,LAX,58511.0,71120.0,12609.0,160,128,16:15 -> 19:45,,0
T07,F10,C05,LAX,ORD,26396.23076396417,39005.23076396417,12609.000000000004,160,128,07:19 -> 10:50,01:40,1
T07,F11,C05,ORD,ATL,53471.0,57863.0,4392.0,160,128,14:51 -> 16:04,,0
T07,F20,C05,ATL,DEN,64455.0,73122.0,8667.0,160,128,17:54 -> 20:18,,0
T07,F21,C09,DEN,ATL,78362.0,87029.0,8667.0,160,128,21:46 -> 00:10 (+1),,0
T08,F22,C10,LAX,DFW,19800.0,28723.0,8923.0,200,160,05:30 -> 07:58,,0
T08,F23,C10,DFW,LAX,58911.0,67834.0,8923.0,200,160,16:21 -> 18:50,,0
T08,F24,C04,LAX,DFW,73602.0,82525.0,8923.0,200,160,20:26 -> 22:55,,0
T09,F25,C11,ATL,DEN,20820.0,29487.0,8667.0,200,160,05:47 -> 08:11,,0
T09,F26,C08,DEN,ATL,40176.0,48843.0,8667.0,200,160,11:09 -> 13:34,,0
T09,F27,C08,ATL,DEN,62623.0,71290.0,8667.0,200,160,17:23 -> 19:48,,0
