index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,Delay,DelayType
0,T00,F00,C00,SFO,DFW,19860.0,30439.0,10579.0,8778.999994402066,2351,160,128,05:31 -> 08:27,,0
1,T00,F01,C00,DFW,JFK,46086.99999999997,56139.99999999997,10053.0,8252.9999908387,2234,160,128,12:48 -> 15:35,,0
2,T00,F02,C01,JFK,ATL,77890.99999999996,83389.99999999996,5499.0,3698.9999967399253,1222,160,128,21:38 -> 23:09,,0
3,T01,F03,C02,ORD,CLT,20340.0,24678.0,4338.0,2537.999998901017,964,200,160,05:39 -> 06:51,,0
4,T01,F04,C02,CLT,JFK,55564.0,59479.0,3915.0,2114.9999991378677,870,200,160,15:26 -> 16:31,,0
5,T01,F05,C00,JFK,DFW,72092.0,82145.0,10053.0,8252.999994915599,2234,200,160,20:01 -> 22:49,,0
6,T02,F06,C03,ATL,DFW,19919.999999999985,25202.999999999985,5283.0,3482.9999983773137,1174,200,160,05:31 -> 07:00,,0
7,T02,F07,C03,DFW,ATL,55212.0,60495.0,5283.0,3482.9999966916052,1174,200,160,15:20 -> 16:48,,0
8,T02,F20,C05,ATL,DEN,64455.0,73122.0,8667.0,6866.999994991329,1926,200,128,17:54 -> 20:18,,0
9,T02,F21,C09,DEN,ATL,78362.0,87029.0,8667.0,6866.999996025057,1926,200,128,21:46 -> 00:10 (+1),,0
10,T03,F08,C04,LAX,DFW,20160.0,29083.0,8923.0,7122.999992508229,1983,160,128,05:36 -> 08:04,,0
11,T03,F09,C04,DFW,LAX,58356.999999999956,67279.99999999996,8923.0,7122.999996172904,1983,160,128,16:12 -> 18:41,,0
12,T04,F10,C05,LAX,ORD,26396.23076396415,39005.23076396415,12609.0,10808.999986464914,2802,160,128,07:19 -> 10:50,01:40,1
13,T04,F11,C05,ORD,ATL,53471.0,57863.0,4392.0,2591.9999989032317,976,160,128,14:51 -> 16:04,,0
14,T04,F12,C03,ATL,ORD,79759.0,84151.0,4392.0,2591.999998870202,976,160,128,22:09 -> 23:22,,0
15,T05,F13,C06,ORD,JFK,19859.999999999985,25200.999999999985,5341.0,3540.999998318798,1187,120,96,05:30 -> 07:00,,0
16,T05,F14,C06,JFK,ORD,43297.99999999997,48638.99999999997,5341.0,3540.999984731418,1187,120,96,12:01 -> 13:30,,0
17,T05,F15,C06,ORD,LAX,76349.0,88958.0,12609.0,10808.99998455413,2802,120,96,21:12 -> 00:42 (+1),,0
18,T06,F16,C07,JFK,ORD,20759.999999999985,26100.999999999985,5341.0,3541.000089893178,1187,160,128,05:45 -> 07:15,,0
19,T06,F17,C07,ORD,LAX,58511.0,71120.0,12609.0,10808.999981135968,2802,160,128,16:15 -> 19:45,,0
20,T07,F18,C08,LAX,DEN,20400.0,26632.0,6232.0,4431.999997918257,1385,160,128,05:40 -> 07:23,,0
21,T07,F19,C11,DEN,ATL,60897.54340234035,69564.54340234035,8667.0,6866.999994907064,1926,160,128,16:54 -> 19:19,03:01,1
22,T08,F22,C10,LAX,DFW,19800.0,28723.0,8923.0,7122.999992287743,1983,200,160,05:30 -> 07:58,,0
23,T08,F23,C10,DFW,LAX,58910.999999999956,67833.99999999996,8923.0,7122.99999641941,1983,200,160,16:21 -> 18:50,,0
24,T08,F24,C04,LAX,DFW,73602.0,82525.0,8923.0,7122.9999958571725,1983,200,160,20:26 -> 22:55,,0
25,T09,F25,C11,ATL,DEN,20820.0,29487.0,8667.0,6866.999996265912,1926,200,160,05:47 -> 08:11,,0
26,T09,F26,C08,DEN,ATL,40176.0,48843.0,8667.0,6866.999995147246,1926,200,160,11:09 -> 13:34,,0
27,T09,F27,C08,ATL,DEN,62623.0,71290.0,8667.0,6866.999995190868,1926,200,160,17:23 -> 19:48,,0
