Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,is_disrupted
T00,F00,C00,MCO,PHX,19860.0,33220.0,13360,11560,2969,160,128,05:31 -> 09:13,0
T00,F01,C00,PHX,ATL,48868.0,60338.0,11470,9670,2549,160,128,13:34 -> 16:45,0
T00,F02,C01,ATL,MCO,82089.0,85014.0,2925,1125,650,160,128,22:48 -> 23:36,0
T01,F03,C02,JFK,CLT,20340.0,24255.0,3915,2115,870,200,160,05:39 -> 06:44,0
T01,F04,C02,CLT,IAH,56802.03630516526,63399.03630516526,6597,4797,1466,200,160,15:46 -> 17:36,1
T01,F05,C02,IAH,ATL,81122.11272269415,86103.11272269415,4981,3181,1107,200,160,22:32 -> 23:55,1
T02,F06,C03,ATL,JFK,27014.23756530533,32513.23756530533,5499,3699,1222,200,160,07:30 -> 09:01,1
T02,F07,C03,JFK,CLT,55428.0,59343.0,3915,2115,870,200,160,15:23 -> 16:29,0
T03,F08,C04,ORD,DEN,20160.0,26577.0,6417,4617,1426,160,128,05:36 -> 07:22,0
T03,F09,C04,DEN,ORD,55851.0,62268.0,6417,4617,1426,160,128,15:30 -> 17:17,0
T03,F10,C04,ORD,DEN,82638.0,89055.0,6417,4617,1426,160,128,22:57 -> 00:44 (+1),0
T04,F11,C05,DFW,JFK,20340.0,30393.0,10053,8253,2234,160,128,05:39 -> 08:26,0
T04,F12,C05,JFK,ATL,50915.0,56414.0,5499,3699,1222,160,128,14:08 -> 15:40,0
T04,F13,C00,ATL,DEN,78310.0,86977.0,8667,6867,1926,160,128,21:45 -> 00:09 (+1),0
T05,F14,C06,LAS,ATL,20700.0,33318.0,12618,10818,2804,200,160,05:45 -> 09:15,0
T05,F15,C06,ATL,LAS,39571.0,52189.0,12618,10818,2804,200,160,10:59 -> 14:29,0
T05,F16,C07,LAS,ATL,55310.0,67928.0,12618,10818,2804,200,160,15:21 -> 18:52,0
T06,F17,C08,DTW,DEN,32233.24028949233,40342.24028949233,8109,6309,1802,200,160,08:57 -> 11:12,1
T06,F18,C08,DEN,SEA,37548.0,44950.0,7402,5602,1645,200,160,10:25 -> 12:29,0
T06,F19,C09,SEA,LAX,63598.0,70510.0,6912,5112,1536,200,160,17:39 -> 19:35,0
T06,F20,C09,LAX,SEA,83401.0,90313.0,6912,5112,1536,200,160,23:10 -> 01:05 (+1),0
T07,F21,C10,LAS,SFO,19980.0,22968.0,2988,1188,664,120,96,05:33 -> 06:22,0
T07,F22,C10,SFO,IAH,30598.0,42419.0,11821,10021,2627,120,96,08:29 -> 11:46,0
T07,F23,C11,IAH,SFO,73471.0,85292.0,11821,10021,2627,120,96,20:24 -> 23:41,0
T08,F24,C12,ATL,DEN,19980.0,28647.0,8667,6867,1926,120,96,05:33 -> 07:57,0
T08,F25,C12,DEN,DTW,50144.0,58253.0,8109,6309,1802,120,96,13:55 -> 16:10,0
T09,F26,C13,MSP,DFW,20160.0,26334.0,6174,4374,1372,120,96,05:36 -> 07:18,0
T09,F27,C13,DFW,ORD,51367.0,57172.0,5805,4005,1290,120,96,14:16 -> 15:52,0
T09,F28,C13,ORD,DFW,61366.0,67171.0,5805,4005,1290,120,96,17:02 -> 18:39,0
