Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring
T00,F00,C00,ORD,LAX,19920,32529,12609,10809,2802,120,96,05:32 -> 09:02
T00,F01,C00,LAX,SEA,61995,68907,6912,5112,1536,120,96,17:13 -> 19:08
T00,F02,C01,SEA,SFO,71929,76847,4918,3118,1093,120,96,19:58 -> 21:20
T01,F03,C02,BOS,DTW,20640,25203,4563,2763,1014,160,128,05:44 -> 07:00
T01,F04,C02,DTW,DEN,56792,64901,8109,6309,1802,160,128,15:46 -> 18:01
T02,F05,C03,CLT,LGA,20220,24153,3933,2133,874,120,96,05:37 -> 06:42
T02,F06,C03,LGA,FLL,30628,38431,7803,6003,1734,120,96,08:30 -> 10:40
T02,F07,C03,FLL,ATL,46450,50662,4212,2412,936,120,96,12:54 -> 14:04
T02,F08,C04,ATL,FLL,83467,87679,4212,2412,936,120,96,23:11 -> 00:21 (+1)
T03,F09,C05,SEA,LAX,20640,27552,6912,5112,1536,120,96,05:44 -> 07:39
T03,F10,C05,LAX,ORD,38897,51506,12609,10809,2802,120,96,10:48 -> 14:18
T03,F11,C06,ORD,IAH,75935,82640,6705,4905,1490,120,96,21:05 -> 22:57
T04,F12,C07,CLT,PHX,20400,33216,12816,11016,2848,200,160,05:40 -> 09:13
T04,F13,C07,PHX,ATL,64999,76469,11470,9670,2549,200,160,18:03 -> 21:14
T05,F14,C08,DTW,ATL,20760,25071,4311,2511,958,200,160,05:46 -> 06:57
T05,F15,C08,ATL,DTW,37536,41847,4311,2511,958,200,160,10:25 -> 11:37
T05,F16,C08,DTW,ATL,61153,65464,4311,2511,958,200,160,16:59 -> 18:11
T06,F17,C09,DFW,BWI,19860,28653,8793,6993,1954,120,96,05:31 -> 07:57
T06,F18,C09,BWI,DEN,50689,61457,10768,8968,2393,120,96,14:04 -> 17:04
T06,F19,C02,DEN,BWI,67925,78693,10768,8968,2393,120,96,18:52 -> 21:51
T07,F20,C10,DEN,SEA,20220,27622,7402,5602,1645,160,128,05:37 -> 07:40
T07,F21,C10,SEA,DEN,62068,69470,7402,5602,1645,160,128,17:14 -> 19:17
T08,F22,C11,JFK,ATL,20100,25599,5499,3699,1222,160,128,05:35 -> 07:06
T08,F23,C11,ATL,FLL,27465,31677,4212,2412,936,160,128,07:37 -> 08:47
T08,F24,C11,FLL,ORD,65572,74144,8572,6772,1905,160,128,18:12 -> 20:35
T09,F25,C12,SEA,DEN,20940,28342,7402,5602,1645,160,128,05:49 -> 07:52
T09,F26,C12,DEN,CLT,37855,47521,9666,7866,2148,160,128,10:30 -> 13:12
T09,F27,C13,CLT,JFK,64636,68551,3915,2115,870,160,128,17:57 -> 19:02
T09,F28,C13,JFK,MSP,83789,91218,7429,5629,1651,160,128,23:16 -> 01:20 (+1)
T10,F29,C14,JFK,MSP,19860,27289,7429,5629,1651,200,160,05:31 -> 07:34
T10,F30,C14,MSP,MIA,34927,45808,10881,9081,2418,200,160,09:42 -> 12:43
T10,F31,C15,MIA,MSP,48681,59562,10881,9081,2418,200,160,13:31 -> 16:32
T11,F32,C16,PHL,IAH,20220,29800,9580,7780,2129,120,96,05:37 -> 08:16
T11,F33,C16,IAH,PHL,55864,65444,9580,7780,2129,120,96,15:31 -> 18:10
T11,F34,C17,PHL,FLL,81711,88911,7200,5400,1600,120,96,22:41 -> 00:41 (+1)
T12,F35,C18,ORD,SFO,20220,33553,13333,11533,2963,200,160,05:37 -> 09:19
T12,F36,C18,SFO,ORD,61023,74356,13333,11533,2963,200,160,16:57 -> 20:39
