Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Capacity,Pax,Timestring,Delay,DelayType
T00,F00,C00,SEA,LAX,29364.67726911556,36276.677269115564,6912.000000000004,160,128,08:09 -> 10:04,02:26,1
T00,F01,C00,LAX,DFW,45910.0,54833.0,8923.0,160,128,12:45 -> 15:13,,0
T01,F14,C07,JFK,ATL,21968.77035616089,27467.770356160887,5498.999999999996,120,56,06:06 -> 07:37,00:21,1
T01,F03,C01,ATL,PHX,48470.104899478654,59940.104899478654,11470.0,120,96,13:27 -> 16:39,03:29,1
T01,F04,C02,PHX,IAH,80030.0,87320.0,7290.0,120,96,22:13 -> 00:15 (+1),,0
T02,F05,C03,DEN,ATL,27979.314308372013,36646.31430837201,8667.0,160,128,07:46 -> 10:10,01:57,1
T02,F06,C03,ATL,MIA,50303.0,54618.0,4315.0,160,128,13:58 -> 15:10,,0
T02,F07,C03,MIA,DFW,59607.0,67716.0,8109.0,160,128,16:33 -> 18:48,,0
T03,F08,C04,DEN,IAH,30415.986335154645,36656.98633515465,6241.000000000007,200,160,08:26 -> 10:10,02:54,1
T03,F09,C04,IAH,MIA,45666.76106345997,52636.76106345997,6970.0,200,160,12:41 -> 14:37,02:39,1
T03,F10,C04,MIA,ORD,54436.76106345997,63121.76106345997,8685.0,200,160,15:07 -> 17:32,01:53,2
T03,F11,C05,ORD,LAX,79832.73965082673,92441.73965082673,12609.0,200,160,22:10 -> 01:40 (+1),00:47,1
T04,F12,C10,LAX,ORD,20940.0,33549.0,12609.0,160,128,05:49 -> 09:19,,0
T04,F13,C10,ORD,LAX,43629.0,56238.0,12609.0,160,128,12:07 -> 15:37,,0
T05,F02,C01,JFK,ATL,21396.627008162304,26895.627008162304,5499.0,200,200,05:56 -> 07:28,00:22,1
T05,F15,C07,ATL,JFK,32452.0,37951.0,5499.0,200,160,09:00 -> 10:32,,0
T05,F16,C07,JFK,MCO,42495.0,49339.0,6844.0,200,160,11:48 -> 13:42,,0
T05,F17,C08,MCO,PHX,79793.0,93153.0,13360.0,200,160,22:09 -> 01:52 (+1),,0
T06,F18,C09,PHX,DEN,20280.0,24636.0,4356.0,160,128,05:38 -> 06:50,,0
T06,F19,C09,DEN,DFW,60508.0,65152.0,4644.0,160,128,16:48 -> 18:05,,0
T06,F20,C00,DFW,ATL,87909.0,93192.0,5283.0,160,128,00:25 (+1) -> 01:53 (+1),,0
T07,F21,C06,LAX,ORD,30113.141506267984,42722.14150626798,12608.999999999996,120,64,08:21 -> 11:52,02:47,1
T07,F22,C04,ORD,DFW,64921.76106345997,70726.76106345997,5805.0,120,96,18:02 -> 19:38,00:42,2
T08,F23,C11,DEN,MCO,19980.0,31167.0,11187.0,120,96,05:33 -> 08:39,,0
T08,F24,C07,MCO,DEN,65834.0,77021.0,11187.0,120,96,18:17 -> 21:23,,0
T08,F25,C12,DEN,PHX,86022.0,90378.0,4356.0,120,96,23:53 -> 01:06 (+1),,0
T09,F26,C13,LAX,ORD,20220.0,32829.0,12609.0,160,160,05:37 -> 09:07,,0
T09,F27,C06,ORD,LAX,49542.0,62151.0,12609.0,160,128,13:45 -> 17:15,,0
T09,F28,C06,LAX,SEA,79926.0,86838.0,6912.0,160,128,22:12 -> 00:07 (+1),,0
T10,F29,C14,ORD,IAH,20160.0,26865.0,6705.0,200,160,05:36 -> 07:27,,0
T10,F30,C14,IAH,ATL,51791.0,56772.0,4981.0,200,160,14:23 -> 15:46,,0
T10,F31,C14,ATL,IAH,73699.0,78680.0,4981.0,200,160,20:28 -> 21:51,,0
T11,F32,C15,JFK,DEN,20040.0,31780.0,11740.0,200,160,05:34 -> 08:49,,0
T11,F33,C15,DEN,MCO,58941.0,70128.0,11187.0,200,160,16:22 -> 19:28,,0
T12,F34,C16,PHX,MCO,21000.0,34360.0,13360.0,160,128,05:50 -> 09:32,,0
T12,F35,C11,MCO,JFK,46772.0,53616.0,6844.0,160,128,12:59 -> 14:53,,0
T12,F36,C17,JFK,MCO,79307.0,86151.0,6844.0,160,128,22:01 -> 23:55,,0
T13,F37,C18,ATL,MIA,33632.24683338102,37947.24683338102,4315.0,160,128,09:20 -> 10:32,03:38,1
T13,F38,C18,MIA,ATL,61156.22034576579,65471.22034576579,4315.0,160,128,16:59 -> 18:11,02:15,1
T14,F39,C19,PHX,SFO,19800.0,24507.0,4707.0,200,160,05:30 -> 06:48,,0
T14,F40,C19,SFO,DFW,44744.20631478388,55323.20631478388,10579.0,200,160,12:25 -> 15:22,02:09,1
T14,F41,C20,DFW,ATL,57123.20631478388,62406.20631478388,5283.0,200,160,15:52 -> 17:20,00:22,2
