Rec_itin,Skd_itin,Rec_flights,Skd_flights,Pax,From,To,RDT,RAT,Arr_delay,Cost,Rec_string
I00,I00,F00,F00,81,SEA,LAX,29364.677269115564,36276.677269115564,8784.677269115564,12146.3,08:09 -> 10:04
I01,I01,F00-F01,F00-F01,47,SEA,DFW,29364.677269115564,54833.0,0.0,0.0,08:09 -> 15:13
I02,I02,F01,F01,81,LAX,DFW,45910.0,54833.0,0.0,0.0,12:45 -> 15:13
I03,I03,F02,F02,96,JFK,ATL,21396.627008162304,26895.627008162304,1356.6270081623043,2223.1,05:56 -> 07:28
I03,I18,F02,F14,104,JFK,ATL,21396.627008162304,26895.627008162304,696.6270081623043,1236.7,05:56 -> 07:28
I04,I04,F03,F03,55,ATL,PHX,48470.10489947865,59940.10489947865,12564.104899478647,11795.8,13:27 -> 16:39
I05,I05,F03-F04,F03-F04,41,ATL,IAH,48470.10489947865,87320.0,0.0,0.0,13:27 -> 00:15 (+1)
I06,I06,F04,F04,55,PHX,IAH,80030.0,87320.0,0.0,0.0,22:13 -> 00:15 (+1)
I07,I07,F05,F05,67,DEN,ATL,27979.314308372013,36646.31430837201,7039.314308372013,8050.8,07:46 -> 10:10
I08,I08,F05-F06,F05-F06,61,DEN,MIA,27979.314308372013,54617.99999999997,0.0,0.0,07:46 -> 15:10
I09,I09,F06,F06,67,ATL,MIA,50302.99999999997,54617.99999999997,0.0,0.0,13:58 -> 15:10
I10,I10,F07,F07,128,MIA,DFW,59607.0,67716.0,0.0,0.0,16:33 -> 18:48
I11,I11,F08,F08,160,DEN,IAH,30415.986335154623,36656.98633515462,10495.986335154623,28666.6,08:26 -> 10:10
I12,I12,F09,F09,109,IAH,MIA,45666.76106345997,52636.76106345997,9545.76106345997,17761.1,12:41 -> 14:37
I13,I13,F09-F10,F09-F10,51,IAH,ORD,45666.76106345997,63121.76106345997,6794.76106345997,5915.3,12:41 -> 17:32
I14,I14,F10,F10,109,MIA,ORD,54436.76106345997,63121.76106345997,6794.76106345997,12642.5,15:07 -> 17:32
I15,I15,F11,F11,160,ORD,LAX,79832.73965082673,92441.73965082673,2852.7396508267266,7791.4,22:10 -> 01:40 (+1)
I16,I16,F12,F12,128,LAX,ORD,20940.0,33549.0,0.0,0.0,05:49 -> 09:19
I16,I25,F12,F21,32,LAX,ORD,20940.0,33549.0,900.0,491.6,05:49 -> 09:19
I17,I17,F13,F13,128,ORD,LAX,43629.0,56238.0,0.0,0.0,12:07 -> 15:37
I18,I18,F14,F14,56,JFK,ATL,21968.77035616089,27467.77035616089,1268.7703561608905,1212.8,06:06 -> 07:37
I19,I19,F15,F15,160,ATL,JFK,32452.0,37951.0,0.0,0.0,09:00 -> 10:32
I20,I20,F16,F16,160,JFK,MCO,42495.0,49339.0,0.0,0.0,11:48 -> 13:42
I21,I21,F17,F17,160,MCO,PHX,79793.0,93153.0,0.0,0.0,22:09 -> 01:52 (+1)
I22,I22,F18,F18,128,PHX,DEN,20279.999999999985,24635.999999999985,0.0,0.0,05:37 -> 06:50
I23,I23,F19,F19,128,DEN,DFW,60507.99999999996,65151.99999999996,0.0,0.0,16:48 -> 18:05
I24,I24,F20,F20,128,DFW,ATL,87909.0,93192.0,0.0,0.0,00:25 (+1) -> 01:53 (+1)
I25,I25,F21,F21,32,LAX,ORD,30113.14150626798,42722.14150626798,10073.14150626798,5502.4,08:21 -> 11:52
I26,I26,F22,F22,96,ORD,DFW,64921.76106345997,70726.76106345997,2527.7610634599696,4142.3,18:02 -> 19:38
I27,I27,F23,F23,96,DEN,MCO,19980.0,31167.0,0.0,0.0,05:33 -> 08:39
I28,I28,F24,F24,96,MCO,DEN,65834.0,77021.0,0.0,0.0,18:17 -> 21:23
I29,I29,F25,F25,96,DEN,PHX,86022.0,90378.0,0.0,0.0,23:53 -> 01:06 (+1)
I30,I25,F26,F21,32,LAX,ORD,20220.0,32829.0,180.0,98.3,05:37 -> 09:07
I30,I30,F26,F26,128,LAX,ORD,20220.0,32829.0,0.0,0.0,05:37 -> 09:07
I31,I31,F27,F27,128,ORD,LAX,49542.0,62151.0,0.0,0.0,13:45 -> 17:15
I32,I32,F28,F28,128,LAX,SEA,79926.0,86838.0,0.0,0.0,22:12 -> 00:07 (+1)
I33,I33,F29,F29,160,ORD,IAH,20160.0,26865.0,0.0,0.0,05:36 -> 07:27
I34,I34,F30,F30,160,IAH,ATL,51790.99999999997,56771.99999999997,0.0,0.0,14:23 -> 15:46
I35,I35,F31,F31,160,ATL,IAH,73699.0,78680.0,0.0,0.0,20:28 -> 21:51
I36,I36,F32,F32,160,JFK,DEN,20040.0,31780.0,0.0,0.0,05:34 -> 08:49
I37,I37,F33,F33,160,DEN,MCO,58941.0,70128.0,0.0,0.0,16:22 -> 19:28
I38,I38,F34,F34,128,PHX,MCO,21000.0,34360.0,0.0,0.0,05:50 -> 09:32
I39,I39,F35,F35,128,MCO,JFK,46772.0,53616.0,0.0,0.0,12:59 -> 14:53
I40,I40,F36,F36,128,JFK,MCO,79307.0,86151.0,0.0,0.0,22:01 -> 23:55
I41,I41,F37,F37,128,ATL,MIA,33632.246833380996,37947.246833380996,13112.246833380996,28649.7,09:20 -> 10:32
I42,I42,F38,F38,128,MIA,ATL,61156.22034576579,65471.22034576579,8113.220345765789,17727.1,16:59 -> 18:11
I43,I43,F39,F39,87,PHX,SFO,19800.0,24507.0,0.0,0.0,05:30 -> 06:48
I44,I44,F39-F40,F39-F40,73,PHX,DFW,19800.0,55323.20631478388,7765.206314783878,9676.3,05:30 -> 15:22
I45,I45,F40,F40,87,SFO,DFW,44744.20631478388,55323.20631478388,7765.206314783878,11532.0,12:25 -> 15:22
I46,I46,F41,F41,160,DFW,ATL,57123.20631478388,62406.20631478388,1336.206314783878,3649.4,15:52 -> 17:20
