Itinerary,Flight_legs,Pax
I00,F00,21
I01,F01,96
I02,F02,96
I03,F03,96
I04,F04,60
I05,F05,96
I06,F06,58
I07,F07,96
I08,F08,96
I09,F09,96
I10,F10,96
I11,F11,62
I12,F12,96
I13,F13,96
I14,F14,96
I15,F15,96
I16,F16,96
I17,F17,35
I18,F18,96
I19,F19,25
I20,F20,56
I21,F21,96
I22,F22,96
I23,F23,53
I24,F24,96
I25,F25,96
I26,F17-F26,42
I27,F26,54
I28,F27,96
I29,F28,96
I30,F29,96
I31,F30,96
I32,F31,96
I33,F32,96
I34,F33,96
I35,F34,96
I36,F35,20
I37,F36,96
I38,F37,96
I39,F38,61
I40,F39,57
I41,F39-F40,39
I42,F40,23
I43,F41,96
I44,F42,96
I45,F43,96
I46,F44,96
I47,F45,96
I48,F46,96
I49,F47,96
I50,F48,96
I51,F49,96
I52,F50,62
I53,F50-F51,34
I54,F51,62
I55,F52,96
I56,F53,61
I57,F54,96
I58,F55,96
I59,F56,96
I60,F57,96
I61,F58,40
I62,F59,96
I63,F60,96
I64,F61,52
I65,F62,55
I66,F00-F63,40
I67,F62-F63,41
I68,F63,15
I69,F64,96
I70,F65,96
I71,F66,96
I72,F67,39
I73,F67-F68,37
I74,F68,26
I75,F69,96
I76,F67-F70,20
I77,F70,76
I78,F71,96
I79,F72,56
I80,F72-F73,40
I81,F73,56
I82,F74,56
I83,F74-F75,40
I84,F75,56
I85,F76,54
I86,F77,59
I87,F61-F78,44
I88,F77-F78,37
I89,F78,15
I90,F79,96
I91,F80,30
I92,F80-F81,44
I93,F81,52
I94,F82,96
I95,F83,96
I96,F84,63
I97,F85,49
I98,F19-F86,36
I99,F86,60
I100,F87,96
I101,F88,96
I102,F89,96
I103,F90,37
I104,F90-F91,41
I105,F91,31
I106,F92,96
I107,F93,57
I108,F94,96
I109,F95,52
I110,F68-F96,22
I111,F96,74
I112,F97,96
I113,F98,96
I114,F99,51
I115,F40-F100,19
I116,F100,77
I117,F101,56
I118,F102,96
I119,F103,96
I120,F104,96
I121,F105,68
I122,F106,96
I123,F107,96
I124,F108,96
I125,F109,96
I126,F110,96
I127,F111,96
I128,F112,65
I129,F112-F113,31
I130,F113,65
I131,F114,96
I132,F115,65
I133,F116,31
I134,F116-F117,28
I135,F117,51
I136,F17-F118,19
I137,F118,77
I138,F116-F119,20
I139,F119,76
I140,F120,45
I141,F121,96
I142,F122,57
I143,F105-F123,28
I144,F123,68
I145,F99-F124,45
I146,F124,51
I147,F125,40
I148,F125-F126,31
I149,F126,65
I150,F127,96
I151,F128,96
I152,F129,96
I153,F130,96
I154,F131,96
I155,F132,50
I156,F132-F133,46
I157,F133,50
I158,F134,96
I159,F135,96
I160,F136,53
I161,F137,53
I162,F138,96
I163,F139,32
I164,F140,96
I165,F116-F117-F141,17
I166,F141,79
I167,F142,96
I168,F143,96
I169,F144,96
I170,F145,96
I171,F146,58
I172,F147,96
I173,F148,96
I174,F149,96
I175,F150,63
I176,F151,39
I177,F120-F152,31
I178,F151-F152,31
I179,F152,34
I180,F84-F153,33
I181,F153,63
I182,F20-F154,40
I183,F154,56
I184,F155,96
I185,F156,96
I186,F157,96
I187,F158,96
I188,F159,96
I189,F38-F160,35
I190,F160,61
I191,F161,96
I192,F162,96
I193,F163,96
I194,F164,96
I195,F165,96
I196,F166,96
I197,F23-F167,43
I198,F167,36
I199,F168,96
I200,F169,96
I201,F170,96
I202,F171,96
I203,F172,96
I204,F173,96
I205,F174,96
I206,F139-F175,47
I207,F175,49
I208,F176,96
I209,F177,96
I210,F53-F178,35
I211,F178,61
I212,F179,96
I213,F180,96
I214,F181,96
I215,F182,96
I216,F183,96
I217,F184,96
I218,F185,96
I219,F186,96
I220,F187,96
I221,F188,96
I222,F115-F189,31
I223,F189,65
I224,F190,51
I225,F191,50
I226,F90-F192,18
I227,F191-F192,46
I228,F192,32
I229,F136-F193,43
I230,F193,53
I231,F194,96
I232,F195,62
I233,F196,96
I234,F197,96
I235,F190-F198,45
I236,F195-F198,34
I237,F198,17
I238,F199,96
I239,F200,96
I240,F201,96
I241,F202,96
I242,F203,96
I243,F204,96
I244,F205,96
I245,F206,96
I246,F207,96
I247,F208,96
I248,F209,96
I249,F210,96
I250,F211,96
I251,F212,96
I252,F213,96
I253,F214,96
I254,F215,96
I255,F137-F216,43
I256,F139-F216,17
I257,F216,36
I258,F217,96
I259,F218,96
I260,F101-F219,40
I261,F125-F219,25
I262,F219,31
I263,F220,96
I264,F221,96
I265,F222,96
I266,F93-F223,39
I267,F223,57
I268,F224,96
I269,F225,63
I270,F225-F226,33
I271,F226,44
I272,F226-F227,19
I273,F227,77
I274,F228,96
I275,F58-F229,36
I276,F229,60
I277,F230,96
I278,F231,52
I279,F35-F232,45
I280,F232,34
I281,F232-F233,17
I282,F233,79
I283,F234,96
I284,F235,52
I285,F236,96
I286,F237,96
I287,F235-F238,44
I288,F238,52
I289,F40-F239,15
I290,F239,81
I291,F240,96
I292,F241,96
I293,F120-F242,20
I294,F231-F242,44
I295,F242,32
I296,F243,67
I297,F243-F244,29
I298,F244,67
I299,F04-F245,36
I300,F245,60
I301,F246,66
I302,F246-F247,30
I303,F247,66
I304,F248,96
I305,F249,96
I306,F95-F250,44
I307,F122-F250,39
I308,F250,13
I309,F251,96
I310,F252,96
I311,F253,65
I312,F253-F254,31
I313,F254,65
I314,F255,96
I315,F58-F256,20
I316,F256,76
I317,F257,96
I318,F258,59
I319,F258-F259,37
I320,F259,59
I321,F260,96
I322,F261,96
I323,F262,67
I324,F263,96
I325,F264,96
I326,F68-F265,11
I327,F150-F265,33
I328,F262-F265,29
I329,F265,23
I330,F266,96
I331,F76-F267,42
I332,F267,54
I333,F268,96
I334,F269,96
I335,F270,96
I336,F271,96
I337,F272,65
I338,F272-F273,31
I339,F273,65
I340,F274,96
I341,F275,96
I342,F276,96
I343,F00-F277,26
I344,F277,70
I345,F35-F278,22
I346,F151-F278,26
I347,F278,48
I348,F279,96
I349,F19-F280,24
I350,F80-F280,22
I351,F280,50
I352,F281,96
I353,F11-F282,34
I354,F19-F282,11
I355,F85-F282,47
I356,F282,4
I357,F283,96
I358,F284,96
I359,F285,96
I360,F286,96
I361,F287,96
I362,F00-F288,9
I363,F06-F288,38
I364,F288,49
I365,F289,96
I366,F290,96
I367,F167-F291,17
I368,F291,79
I369,F292,96
I370,F293,96
I371,F294,96
I372,F295,96
I373,F91-F296,24
I374,F296,72
I375,F35-F297,9
I376,F297,87
I377,F298,96
I378,F299,96
I379,F300,96
I380,F146-F301,20
I381,F301,58
