Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring
T00,F00,C00,SGU,DEN,19860,23595,3735,1935,830,120,96,05:31 -> 06:33
T00,F01,C00,DEN,IAD,34870,45359,10489,8689,2331,120,96,09:41 -> 12:35
T00,F02,C00,IAD,DTW,60810,63582,2772,972,616,120,96,16:53 -> 17:39
T01,F03,C01,ASE,BWI,19980,31635,11655,9855,2590,120,96,05:33 -> 08:47
T01,F04,C01,BWI,SLC,49440,62908,13468,11668,2993,120,96,13:44 -> 17:28
T01,F05,C01,SLC,ATL,79002,90490,11488,9688,2553,120,96,21:56 -> 01:08 (+1)
T02,F06,C02,MKE,DEN,20520,26986,6466,4666,1437,120,96,05:42 -> 07:29
T02,F07,C02,DEN,JFK,43417,55157,11740,9940,2609,120,96,12:03 -> 15:19
T02,F08,C02,JFK,DEN,73422,85162,11740,9940,2609,120,96,20:23 -> 23:39
T03,F09,C03,APN,BOS,20640,25369,4729,2929,1051,120,96,05:44 -> 07:02
T03,F10,C03,BOS,DTW,47646,52209,4563,2763,1014,120,96,13:14 -> 14:30
T03,F11,C03,DTW,BOS,60820,65383,4563,2763,1014,120,96,16:53 -> 18:09
T03,F12,C03,BOS,MKE,74969,81179,6210,4410,1380,120,96,20:49 -> 22:32
T04,F13,C04,MLB,IAH,20880,27369,6489,4689,1442,120,96,05:48 -> 07:36
T04,F14,C04,IAH,MLB,48391,54880,6489,4689,1442,120,96,13:26 -> 15:14
T04,F15,C04,MLB,IAH,79642,86131,6489,4689,1442,120,96,22:07 -> 23:55
T05,F16,C05,LGA,PBI,19920,27426,7506,5706,1668,120,96,05:32 -> 07:37
T05,F17,C05,PBI,ORD,41876,50169,8293,6493,1843,120,96,11:37 -> 13:56
T05,F18,C05,ORD,IAH,70961,77666,6705,4905,1490,120,96,19:42 -> 21:34
T06,F19,C06,RSW,BOS,20400,29458,9058,7258,2013,120,96,05:40 -> 08:10
T06,F20,C06,BOS,ORD,46003,52262,6259,4459,1391,120,96,12:46 -> 14:31
T06,F21,C06,ORD,MIA,59220,67905,8685,6885,1930,120,96,16:27 -> 18:51
T06,F22,C06,MIA,JFK,73129,81035,7906,6106,1757,120,96,20:18 -> 22:30
T07,F23,C07,CHS,ORD,21000,26508,5508,3708,1224,120,96,05:50 -> 07:21
T07,F24,C07,ORD,CHS,31108,36616,5508,3708,1224,120,96,08:38 -> 10:10
T07,F25,C07,CHS,ORD,57927,63435,5508,3708,1224,120,96,16:05 -> 17:37
T07,F26,C07,ORD,CHS,79403,84911,5508,3708,1224,120,96,22:03 -> 23:35
T08,F27,C08,APN,LGA,20580,24724,4144,2344,921,120,96,05:43 -> 06:52
T08,F28,C08,LGA,APN,28162,32306,4144,2344,921,120,96,07:49 -> 08:58
T08,F29,C08,APN,DSM,41150,45227,4077,2277,906,120,96,11:25 -> 12:33
T08,F30,C08,DSM,MCO,60984,69250,8266,6466,1837,120,96,16:56 -> 19:14
T09,F31,C09,GCN,IAH,20160,27805,7645,5845,1699,120,96,05:36 -> 07:43
