Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Capacity,Pax,Timestring,Delay,DelayType
T00,F00,C00,ATL,ORD,30720,35112,4392,6,4,08:32 -> 09:45,03:00,1
T00,F01,C00,ORD,ATL,51270,55662,4392,6,2,14:14 -> 15:27,02:00,1
T00,F02,C00,ATL,ORD,57462,61854,4392,6,4,15:57 -> 17:10,00:41,2
T00,F03,C00,ORD,DFW,87088,92893,5805,6,4,00:11 (+1) -> 01:48 (+1),03:00,1
T01,F04,C01,ATL,DFW,19800,25083,5283,8,6,05:30 -> 06:58,,0
T01,F05,C01,DFW,ORD,47035,52840,5805,8,6,13:03 -> 14:40,,0
T01,F06,C01,ORD,DFW,58579,64384,5805,8,6,16:16 -> 17:53,,0
T01,F07,C02,DFW,ATL,70037,75320,5283,8,6,19:27 -> 20:55,,0
T02,F08,C03,ORD,LAX,20880,33489,12609,8,6,05:48 -> 09:18,,0
T02,F09,C03,LAX,ORD,56643,69252,12609,8,6,15:44 -> 19:14,,0
T02,F10,C04,ORD,DFW,87790,93595,5805,8,6,00:23 (+1) -> 01:59 (+1),,0
T03,F11,C05,DFW,ORD,20460,26265,5805,8,6,05:41 -> 07:17,,0
T03,F12,C05,ORD,ATL,44132,48524,4392,8,8,12:15 -> 13:28,,0
T03,F13,C05,ATL,ORD,73054,77446,4392,8,6,20:17 -> 21:30,02:00,1
T04,F14,C06,ORD,LAX,20340,32949,12609,8,6,05:39 -> 09:09,,0
T04,F15,C06,LAX,ORD,45943,58552,12609,8,6,12:45 -> 16:15,,0
T04,F16,C03,ORD,ATL,73404,77796,4392,8,6,20:23 -> 21:36,,0
