Rec_itin,Skd_itin,Rec_flights,Skd_flights,Pax,From,To,RDT,RAT,Arr_delay,Cost,Rec_string
I00,I00,F00,F00,128,DFW,JFK,23460.0,33513.0,3600.0,7865.9,06:31 -> 09:18
I01,I01,F01,F01,128,JFK,ATL,45561.0,51060.0,0.0,0.0,12:39 -> 14:11
I02,I02,F02,F02,78,ATL,ORD,72811.0,77203.0,0.0,0.0,20:13 -> 21:26
I03,I03,F03,F03,84,JFK,DFW,20040.0,30093.0,0.0,0.0,05:34 -> 08:21
I04,I04,F04,F04,160,DFW,ORD,62633.0,68438.0,0.0,0.0,17:23 -> 19:00
I05,I05,F02-F05,F02-F05,50,ATL,DFW,72811.0,90891.0,0.0,0.0,20:13 -> 01:14 (+1)
I06,I06,F05,F05,110,ORD,DFW,85086.0,90891.0,0.0,0.0,23:38 -> 01:14 (+1)
I07,I07,F06,F06,160,ATL,ORD,19920.0,24312.0,0.0,0.0,05:32 -> 06:45
I08,I08,F07,F07,160,ORD,ATL,61520.999999999956,65912.99999999996,7199.999999999956,19664.6,17:05 -> 18:18
I09,I09,F08,F08,160,ATL,JFK,77393.0,82892.0,0.0,0.0,21:29 -> 23:01
I10,I10,F09,F09,160,LAX,DFW,20220.0,29143.0,0.0,0.0,05:37 -> 08:05
I11,I11,F03-F10,F03-F10,76,JFK,LAX,20040.0,58436.0,0.0,0.0,05:34 -> 16:13
I12,I12,F10,F10,84,DFW,LAX,49513.0,58436.0,0.0,0.0,13:45 -> 16:13
I13,I13,F11,F11,128,ATL,DFW,24419.999999999985,29702.999999999985,3599.9999999999854,7865.9,06:46 -> 08:15
I14,I14,F12,F12,128,DFW,JFK,34852.0,44905.0,0.0,0.0,09:40 -> 12:28
I15,I15,F13,F13,128,JFK,ATL,73993.99999999996,79492.99999999996,0.0,0.0,20:33 -> 22:04
I16,I16,F14,F14,128,ATL,JFK,82420.0,87919.0,0.0,0.0,22:53 -> 00:25 (+1)
