Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,is_disrupted
T00,F00,C00,ORD,LAX,19920.0,32529.0,12609,10809,2802,120,96,05:32 -> 09:02,0
T00,F01,C00,LAX,SEA,61995.0,68907.0,6912,5112,1536,120,96,17:13 -> 19:08,0
T00,F02,C01,SEA,SFO,71929.0,76847.0,4918,3118,1093,120,96,19:58 -> 21:20,0
T01,F03,C02,BOS,DTW,33842.61849066795,38405.61849066795,4563,2763,1014,160,128,09:24 -> 10:40,1
T01,F04,C02,DTW,DEN,56792.0,64901.0,8109,6309,1802,160,128,15:46 -> 18:01,0
T02,F05,C03,CLT,LGA,20220.0,24153.0,3933,2133,874,120,96,05:37 -> 06:42,0
T02,F06,C03,LGA,FLL,30628.0,38431.0,7803,6003,1734,120,96,08:30 -> 10:40,0
T02,F07,C03,FLL,ATL,46450.0,50662.0,4212,2412,936,120,96,12:54 -> 14:04,0
T02,F08,C04,ATL,FLL,83467.0,87679.0,4212,2412,936,120,96,23:11 -> 00:21 (+1),0
T03,F09,C05,SEA,LAX,33098.02379144656,40010.02379144656,6912,5112,1536,120,96,09:11 -> 11:06,1
T03,F10,C05,LAX,ORD,38897.0,51506.0,12609,10809,2802,120,96,10:48 -> 14:18,0
T03,F11,C06,ORD,IAH,75935.0,82640.0,6705,4905,1490,120,96,21:05 -> 22:57,0
T04,F12,C07,CLT,PHX,20400.0,33216.0,12816,11016,2848,200,160,05:40 -> 09:13,0
T04,F13,C07,PHX,ATL,66426.62001436065,77896.62001436065,11470,9670,2549,200,160,18:27 -> 21:38,1
T05,F14,C08,DTW,ATL,20760.0,25071.0,4311,2511,958,200,160,05:46 -> 06:57,0
T05,F15,C08,ATL,DTW,37536.0,41847.0,4311,2511,958,200,160,10:25 -> 11:37,0
T05,F16,C08,DTW,ATL,61153.0,65464.0,4311,2511,958,200,160,16:59 -> 18:11,0
T06,F17,C09,DFW,BWI,19860.0,28653.0,8793,6993,1954,120,96,05:31 -> 07:57,0
T06,F18,C09,BWI,DEN,50689.0,61457.0,10768,8968,2393,120,96,14:04 -> 17:04,0
T06,F19,C02,DEN,BWI,67925.0,78693.0,10768,8968,2393,120,96,18:52 -> 21:51,0
T07,F20,C10,DEN,SEA,29175.4124014367,36577.4124014367,7402,5602,1645,160,128,08:06 -> 10:09,1
T07,F21,C10,SEA,DEN,62068.0,69470.0,7402,5602,1645,160,128,17:14 -> 19:17,0
T08,F22,C11,JFK,ATL,20100.0,25599.0,5499,3699,1222,160,128,05:35 -> 07:06,0
T08,F23,C11,ATL,FLL,41443.8232892515,45655.8232892515,4212,2412,936,160,128,11:30 -> 12:40,1
