Rec_itin,Skd_itin,Rec_flights,Skd_flights,Pax,From,To,RDT,RAT,Arr_delay,Cost,Rec_string
I00,I00,F00,F00,128,MCO,PHL,19859.999999999985,26105.999999999985,0.0,0.0,05:30 -> 07:15
I01,I01,F01,F01,128,PHL,MCO,41754.0,47999.99999999997,0.0,0.0,11:35 -> 13:19
I02,I02,F02,F02,128,MCO,DTW,66099.0,73041.99999999996,0.0,0.0,18:21 -> 20:17
I03,I03,F03,F03,128,DTW,ATL,84480.0,88791.0,0.0,0.0,23:28 -> 00:39 (+1)
I04,I04,F04,F04,96,PHX,ATL,33651.29481254271,45121.29481254271,13671.294812542706,22403.4,09:20 -> 12:32
I05,I05,F05,F05,96,ATL,DEN,57159.31034325715,65826.31034325715,517.3103432571515,847.7,15:52 -> 18:17
I06,I06,F06,F06,128,EWR,DTW,20760.0,24282.999999999985,0.0,0.0,05:46 -> 06:44
I07,I07,F07,F07,128,DTW,EWR,44848.0,48370.99999999997,0.0,0.0,12:27 -> 13:26
I08,I08,F08,F08,128,EWR,MIA,74784.0,82658.99999999996,0.0,0.0,20:46 -> 22:57
I09,I09,F09,F09,128,MIA,IAH,84498.0,91468.0,0.0,0.0,23:28 -> 01:24 (+1)
I10,I10,F10,F10,160,CLT,EWR,20220.0,24045.0,0.0,0.0,05:37 -> 06:40
I11,I11,F11,F11,160,EWR,CLT,44414.99999999997,48239.99999999997,0.0,0.0,12:20 -> 13:23
I12,I12,F12,F12,160,CLT,MCO,84008.0,87404.99999999996,0.0,0.0,23:20 -> 00:16 (+1)
I13,I13,F13,F13,56,BOS,ATL,22680.713331669187,29524.713331669187,2280.713331669187,2180.2,06:18 -> 08:12
I14,I14,F14,F14,96,ATL,JFK,66592.89784109291,72091.89784109291,4585.897841092912,7515.0,18:29 -> 20:01
I15,I15,F15,F15,96,JFK,DFW,82469.0,92522.0,0.0,0.0,22:54 -> 01:42 (+1)
I16,I16,F16,F16,128,ORD,MCO,23782.666679750306,31072.666679750306,3862.666679750306,8439.8,06:36 -> 08:37
I17,I17,F17,F17,128,MCO,ORD,34124.0,41413.99999999998,0.0,0.0,09:28 -> 11:30
I18,I18,F18,F18,128,ORD,CLT,53794.14948298222,58132.14948298222,7836.149482982219,17121.7,14:56 -> 16:08
I19,I19,F19,F19,128,CLT,JFK,89119.33784641285,93034.33784641285,8369.337846412847,18286.7,00:45 (+1) -> 01:50 (+1)
I20,I20,F20,F20,128,EWR,DEN,20700.0,32292.0,0.0,0.0,05:45 -> 08:58
I21,I21,F21,F21,128,DEN,JFK,65451.0,77191.0,0.0,0.0,18:10 -> 21:26
I22,I22,F22,F22,96,ATL,EWR,20280.0,25674.999999999985,0.0,0.0,05:38 -> 07:07
I23,I23,F23,F23,96,EWR,DTW,67490.76819272734,71013.7681927273,12841.768192727293,21044.1,18:44 -> 19:43
I24,I24,F24,F24,96,DTW,EWR,83832.0,87355.0,0.0,0.0,23:17 -> 00:15 (+1)
I25,I25,F25,F25,96,DFW,SFO,21000.0,31578.99999999998,0.0,0.0,05:50 -> 08:46
I26,I26,F26,F26,96,SFO,DFW,37472.0,48050.99999999997,0.0,0.0,10:24 -> 13:20
I27,I27,F27,F27,96,DFW,SFO,78368.0,88947.0,0.0,0.0,21:46 -> 00:42 (+1)
I28,I28,F28,F28,96,DFW,LAX,20700.0,29623.0,0.0,0.0,05:45 -> 08:13
I29,I29,F29,F29,96,LAX,DFW,63467.0,72390.0,0.0,0.0,17:37 -> 20:06
I30,I30,F30,F30,128,ORD,JFK,20220.0,25560.999999999985,0.0,0.0,05:37 -> 07:06
I31,I31,F31,F31,128,JFK,ORD,42274.0,47614.99999999997,0.0,0.0,11:44 -> 13:13
I32,I32,F32,F32,128,ORD,PHX,65390.0,75798.0,0.0,0.0,18:09 -> 21:03
I33,I33,F33,F33,160,DEN,JFK,20160.0,31900.0,0.0,0.0,05:36 -> 08:51
I34,I34,F34,F34,160,JFK,DFW,56826.0,66879.0,0.0,0.0,15:47 -> 18:34
I35,I35,F35,F35,68,MCO,DTW,20880.0,27822.99999999998,0.0,0.0,05:48 -> 07:43
I36,I36,F36,F36,128,DTW,ATL,51816.0,56126.99999999997,0.0,0.0,14:23 -> 15:35
I37,I37,F37,F37,128,ATL,DTW,73588.99999999996,77899.99999999996,0.0,0.0,20:26 -> 21:38
I38,I38,F35-F38,F35-F38,60,MCO,DFW,20880.0,91448.0,0.0,0.0,05:48 -> 01:24 (+1)
I39,I39,F38,F38,68,DTW,DFW,84311.0,91448.0,0.0,0.0,23:25 -> 01:24 (+1)
I40,I40,F39,F39,52,ATL,ORD,20940.0,25331.999999999985,0.0,0.0,05:49 -> 07:02
I41,I41,F40,F40,52,ORD,ATL,43391.34919878159,47783.34919878156,8071.349198781558,7164.5,12:03 -> 13:16
I42,I42,F41,F41,96,ATL,MIA,71451.0,75765.99999999996,0.0,0.0,19:50 -> 21:02
I43,I43,F42,F42,96,MIA,ATL,84637.21487537025,88952.2148753702,5472.214875370206,8967.4,23:30 -> 00:42 (+1)
I44,I44,F43,F43,160,LGA,ORD,30211.3739698195,35507.3739698195,10411.373969819499,28435.5,08:23 -> 09:51
I45,I45,F39-F44,F39-F44,44,ATL,BOS,20940.0,43827.0,0.0,0.0,05:49 -> 12:10
I46,I46,F44,F44,72,ORD,BOS,37568.0,43827.0,0.0,0.0,10:26 -> 12:10
I47,I47,F44-F45,F44-F45,44,ORD,DFW,37568.0,91097.0,0.0,0.0,10:26 -> 01:18 (+1)
I48,I48,F45,F45,116,BOS,DFW,79807.0,91097.0,0.0,0.0,22:10 -> 01:18 (+1)
I49,I49,F46,F46,160,ATL,MCO,20760.0,23684.999999999985,0.0,0.0,05:46 -> 06:34
I50,I50,F47,F47,160,MCO,ATL,46290.0,49214.99999999997,0.0,0.0,12:51 -> 13:40
I51,I51,F13-F48,F13-F48,40,BOS,MCO,22680.713331669187,77487.99999999996,0.0,0.0,06:18 -> 21:31
I52,I52,F40-F48,F40-F48,44,ORD,MCO,43391.34919878159,77487.99999999996,0.0,0.0,12:03 -> 21:31
I53,I53,F48,F48,76,ATL,MCO,74563.0,77487.99999999996,0.0,0.0,20:42 -> 21:31
I54,I54,F49,F49,160,MCO,ATL,88913.85821095735,91838.85821095735,5666.858210957347,15477.3,00:41 (+1) -> 01:30 (+1)
I55,I55,F50,F50,96,LAS,SEA,19800.0,26077.0,0.0,0.0,05:30 -> 07:14
I56,I56,F51,F51,96,SEA,DEN,51082.401706476296,58484.401706476296,14325.401706476296,23475.3,14:11 -> 16:14
