Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring
T00,F00,C00,ORD,ATL,20820,25212,4392,2592,976,6,4,05:47 -> 07:00
T00,F01,C00,ATL,ORD,37535,41927,4392,2592,976,6,4,10:25 -> 11:38
T00,F02,C00,ORD,ATL,63902,68294,4392,2592,976,6,4,17:45 -> 18:58
T00,F03,C00,ATL,ORD,74350,78742,4392,2592,976,6,4,20:39 -> 21:52
T01,F04,C01,ORD,ATL,20040,24432,4392,2592,976,6,4,05:34 -> 06:47
T01,F05,C01,ATL,ORD,42687,47079,4392,2592,976,6,4,11:51 -> 13:04
T01,F06,C01,ORD,LAX,65711,78320,12609,10809,2802,6,4,18:15 -> 21:45
T02,F07,C02,LAX,ORD,20880,33489,12609,10809,2802,8,6,05:48 -> 09:18
T02,F08,C02,ORD,LAX,54799,67408,12609,10809,2802,8,6,15:13 -> 18:43
T03,F09,C03,ORD,LAX,20460,33069,12609,10809,2802,8,6,05:41 -> 09:11
T03,F10,C03,LAX,ORD,40027,52636,12609,10809,2802,8,6,11:07 -> 14:37
T03,F11,C04,ORD,LAX,55072,67681,12609,10809,2802,8,6,15:17 -> 18:48
