Itinerary,Flight_legs,From,To,SDT,SAT,Pax
I00,F00,JFK,DFW,19920,29973,4
I01,F01,DFW,ATL,47145,52428,3
I02,F02,ATL,ORD,55197,59589,4
I03,F03,ORD,JFK,61461,66802,3
I04,F04,JFK,ATL,19800,25299,3
I05,F05,ATL,JFK,34506,40005,4
I06,F06,JFK,DFW,49386,59439,4
I07,F07,DFW,JFK,69134,79187,4
I08,F08,DFW,ORD,20820,26625,3
I09,F09,ORD,ATL,49948,54340,4
I10,F01-F10,DFW,ORD,47145,91160,1
I11,F04-F10,JFK,ORD,19800,91160,1
I12,F10,ATL,ORD,86768,91160,2
I13,F11,JFK,ORD,19860,25201,6
I14,F08-F12,DFW,ATL,20820,45219,1
I15,F12,ORD,ATL,40827,45219,4
I16,F12-F13,ORD,JFK,40827,55475,1
I17,F13,ATL,JFK,49976,55475,5
I18,F03-F14,ORD,ATL,61461,87834,1
I19,F14,JFK,ATL,82335,87834,5
