Pax,Itinerary,Flights
I00+P00,I00,F00
I00+P01,I00,F00
I00+P02,I00,F00
I00+P03,I00,F00
I01+P00,I01,F01
I01+P01,I01,F01
I01+P02,I01,F01
I02+P00,I02,F02
I02+P01,I02,F02
I02+P02,I02,F02
I02+P03,I02,F02
I03+P00,I03,F03
I03+P01,I03,F03
I03+P02,I03,F03
I04+P00,I04,F04
I04+P01,I04,F04
I04+P02,I04,F04
I05+P00,I05,F05
I05+P01,I05,F05
I05+P02,I05,F05
I05+P03,I05,F05
I06+P00,I06,F06
I06+P01,I06,F06
I06+P02,I06,F06
I06+P03,I06,F06
I07+P00,I07,F07
I07+P01,I07,F07
I07+P02,I07,F07
I07+P03,I07,F07
I08+P00,I08,F08
I08+P01,I08,F08
I08+P02,I08,F08
I09+P00,I09,F09
I09+P01,I09,F09
I09+P02,I09,F09
I09+P03,I09,F09
I10+P00,I10,F01-F10
I11+P00,I11,F04-F10
I12+P00,I12,F10
I12+P01,I12,F10
I13+P00,I13,F11
I13+P01,I13,F11
I13+P02,I13,F11
I13+P03,I13,F11
I13+P04,I13,F11
I13+P05,I13,F11
I14+P00,I14,F08-F12
I15+P00,I15,F12
I15+P01,I15,F12
I15+P02,I15,F12
I15+P03,I15,F12
I16+P00,I16,F12-F13
I17+P00,I17,F13
I17+P01,I17,F13
I17+P02,I17,F13
I17+P03,I17,F13
I17+P04,I17,F13
I18+P00,I18,F03-F14
I19+P00,I19,F14
I19+P01,I19,F14
I19+P02,I19,F14
I19+P03,I19,F14
I19+P04,I19,F14
