From,To,Distance,Duration,Timestring
ATL,LAX,3125.780835979746,14066,03:54
ATL,ORD,976.3291777270539,4393,01:13
ATL,DFW,1174.5334459361275,5285,01:28
ATL,JFK,1222.0951351901176,5499,01:31
ATL,DEN,1926.6204891845073,8669,02:24
LAX,ATL,3125.780835979746,14066,03:54
LAX,ORD,2802.119873568573,12609,03:30
LAX,DFW,1983.1772054356097,8924,02:28
LAX,JFK,3974.202207888479,17883,04:58
LAX,DEN,1385.1411150209888,6233,01:43
ORD,ATL,976.3291777270539,4393,01:13
ORD,LAX,2802.119873568573,12609,03:30
ORD,DFW,1290.6470876758801,5807,01:36
ORD,JFK,1187.837240792049,5345,01:29
ORD,DEN,1426.023983743832,6417,01:46
DFW,ATL,1174.5334459361275,5285,01:28
DFW,LAX,1983.1772054356097,8924,02:28
DFW,ORD,1290.6470876758801,5807,01:36
DFW,JFK,2234.8992303549444,10057,02:47
DFW,DEN,1032.0994301809956,4644,01:17
JFK,ATL,1222.0951351901176,5499,01:31
JFK,LAX,3974.202207888479,17883,04:58
JFK,ORD,1187.837240792049,5345,01:29
JFK,DFW,2234.8992303549444,10057,02:47
JFK,DEN,2609.7857128632286,11744,03:15
DEN,ATL,1926.6204891845073,8669,02:24
DEN,LAX,1385.1411150209888,6233,01:43
DEN,ORD,1426.023983743832,6417,01:46
DEN,DFW,1032.0994301809956,4644,01:17
DEN,JFK,2609.7857128632286,11744,03:15
