Itinerary,Flight_legs,From,To,SDT,SAT,Pax
I00,F00,LAX,ORD,19860,32469,100
I01,F00-F01,LAX,ATL,19860,52509,15
I02,F01,ORD,ATL,48117,52509,113
I03,F02,ATL,ORD,70608,75000,128
I04,F03,ORD,ATL,20280,24672,96
I05,F04,ATL,ORD,50588,54980,85
I06,F00-F05,LAX,ATL,19860,64549,13
I07,F05,ORD,ATL,60157,64549,83
I08,F06,LAX,ORD,20400,33009,128
I09,F04-F07,ATL,LAX,50588,80475,11
I10,F07,ORD,LAX,67866,80475,117
I11,F08,ATL,ORD,20520,24912,85
I12,F08-F09,ATL,LAX,20520,60705,11
I13,F09,ORD,LAX,48096,60705,85
I14,F10,LAX,ORD,73898,86507,96
I15,F11,ORD,LAX,20640,33249,96
I16,F12,LAX,ORD,64976,77585,96
