Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Capacity,Pax,Timestring,Delay,DelayType
T00,F00,C00,JFK,ATL,20820,26319,5499,6,4,05:47 -> 07:18,,0
T00,F01,C00,ATL,JFK,38642,44141,5499,6,4,10:44 -> 12:15,,0
T00,F02,C00,JFK,ORD,73316,78657,5341,6,4,20:21 -> 21:50,02:00,1
T01,F03,C01,LAX,ORD,20220,32829,12609,8,6,05:37 -> 09:07,,0
T01,F04,C01,ORD,DFW,46243,52048,5805,8,6,12:50 -> 14:27,,0
T01,F11,C05,DFW,ATL,61539,66822,5283,8,6,17:05 -> 18:33,,0
T02,F06,C03,DFW,LAX,20520,29443,8923,8,6,05:42 -> 08:10,,0
T02,F07,C03,LAX,DFW,52645,61568,8923,8,8,14:37 -> 17:06,,0
T02,F08,C01,DFW,LAX,71482,80405,8923,8,6,19:51 -> 22:20,,0
T03,F09,C04,DFW,LAX,20760,29683,8923,8,6,05:46 -> 08:14,,0
T03,F10,C04,LAX,DFW,57740,66663,8923,8,4,16:02 -> 18:31,04:00,1
T03,F05,C06,DFW,ATL,70680,75963,5283,8,6,19:38 -> 21:06,,0
T03,F12,C02,ATL,DFW,87663,92946,5283,8,6,00:21 (+1) -> 01:49 (+1),01:00,1
T04,F13,C06,JFK,DFW,20280,30333,10053,6,4,05:38 -> 08:25,,0
T04,F14,C02,DFW,ATL,51090,56373,5283,6,4,14:11 -> 15:39,,0
T04,F15,C07,ATL,DFW,61519,66802,5283,6,4,17:05 -> 18:33,,0
T04,F16,C03,DFW,ATL,87977,93260,5283,6,4,00:26 (+1) -> 01:54 (+1),,0
