index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,Delay,DelayType
0,T00,F00,C00,ORD,ATL,20820.0,25212.0,4392.0,2591.9999996914103,976,6,4,05:47 -> 07:00,,0
1,T00,F01,C00,ATL,ORD,41135.0,45527.0,4392.0,2591.9999996846113,976,6,4,11:25 -> 12:38,01:00,1
2,T00,F02,C00,ORD,ATL,74702.0,79094.0,4392.0,2592.0,976,6,4,20:45 -> 21:58,03:00,1
3,T00,F03,C00,ATL,ORD,80894.0,85286.0,4392.0,2592.0,976,6,4,22:28 -> 23:41,01:49,2
4,T01,F04,C01,ORD,ATL,20040.0,24432.0,4392.0,2591.9999997004747,976,6,4,05:34 -> 06:47,,0
5,T01,F05,C01,ATL,ORD,42687.0,47079.0,4392.0,2591.9999996693577,976,6,4,11:51 -> 13:04,,0
6,T01,F06,C01,ORD,LAX,69311.0,81920.0,12609.0,10808.999998826603,2802,6,3,19:15 -> 22:45,01:00,1
7,T02,F07,C02,LAX,ORD,20880.0,33489.0,12609.0,10808.999998272906,2802,8,6,05:48 -> 09:18,,0
8,T02,F08,C02,ORD,LAX,54799.0,67408.0,12609.0,10808.999997368213,2802,8,7,15:13 -> 18:43,,0
9,T03,F09,C03,ORD,LAX,20460.0,33069.0,12609.0,10808.999996773751,2802,8,6,05:41 -> 09:11,,0
10,T03,F10,C03,LAX,ORD,40027.0,52636.0,12609.0,10808.999998851872,2802,8,6,11:07 -> 14:37,,0
11,T03,F11,C04,ORD,LAX,55072.0,67681.0,12609.0,10808.999998723542,2802,8,6,15:17 -> 18:48,,0
