Rec_itin,Skd_itin,Rec_flights,Skd_flights,Pax,From,To,RDT,RAT,Arr_delay,Cost,Rec_string
I00,I00,F00,F00,4,JFK,ORD,24420,29761,3600,245.8,06:47 -> 08:16
I01,I01,F01,F01,4,ORD,JFK,44173,49514,0,0.0,12:16 -> 13:45
I02,I02,F02,F02,4,JFK,DFW,82395,92448,0,0.0,22:53 -> 01:40 (+1)
I03,I03,F03,F03,6,LAX,ORD,20220,32829,0,0.0,05:37 -> 09:07
I04,I04,F04,F04,4,ORD,ATL,52521,56913,0,0.0,14:35 -> 15:48
I05,I05,F04-F05,F04-F05,2,ORD,JFK,52521,84427,0,0.0,14:35 -> 23:27
I06,I06,F05,F05,4,ATL,JFK,78928,84427,0,0.0,21:55 -> 23:27
I07,I07,F06,F06,6,DFW,JFK,20880,30933,0,0.0,05:48 -> 08:35
I08,I08,F07,F07,6,JFK,DFW,69990,80043,7200,737.4,19:26 -> 22:14
I08,I13,F07,F11-F12,2,JFK,DFW,69990,80043,0,0.0,19:26 -> 22:14
I09,I09,F08,F08,6,DFW,LAX,82063,90986,0,0.0,22:47 -> 01:16 (+1)
I10,I10,F09,F09,6,JFK,ATL,20880,26379,0,0.0,05:48 -> 07:19
I11,I11,F10,F10,6,ATL,JFK,39696,45195,0,0.0,11:01 -> 12:33
I11,I19,F10,F17,2,ATL,JFK,39696,45195,9545,325.9,11:01 -> 12:33
I12,I12,F11,F11,4,JFK,ORD,56560,61901,0,0.0,15:42 -> 17:11
I13,I13,F11-F12,F11-F12,0,JFK,DFW,56560,88034,0,0.0,15:42 -> 00:27 (+1)
I14,I14,F12,F12,4,ORD,DFW,82229,88034,0,0.0,22:50 -> 00:27 (+1)
I15,I15,F13,F13,4,ATL,DFW,20460,25743,0,0.0,05:41 -> 07:09
I16,I16,F14,F14,6,DFW,ATL,32699,37982,0,0.0,09:04 -> 10:33
I17,I17,F15,F15,6,ATL,JFK,66074,71573,0,0.0,18:21 -> 19:52
I18,I18,F16,F16,6,JFK,ATL,20220,25719,0,0.0,05:37 -> 07:08
I19,I19,F17,F17,4,ATL,JFK,40951,46450,10800,737.4,11:22 -> 12:54
I20,I20,F18,F18,6,JFK,DFW,44200,54253,0,0.0,12:16 -> 15:04
I21,I21,F13-F19,F13-F19,2,ATL,LAX,20460,66427,0,0.0,05:41 -> 18:27
I22,I22,F19,F19,4,DFW,LAX,57504,66427,0,0.0,15:58 -> 18:27
