index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,Delay,DelayType
0,T00,F00,C00,JFK,ORD,24420.0,29761.0,5341.0,3540.9999997904783,1187,6,4,06:47 -> 08:16,01:00,1
1,T00,F01,C00,ORD,JFK,44173.0,49514.0,5341.0,3540.999999750359,1187,6,4,12:16 -> 13:45,,0
2,T00,F02,C00,JFK,DFW,82395.0,92448.0,10053.0,8253.000000491218,2234,6,4,22:53 -> 01:40 (+1),,0
3,T01,F03,C01,LAX,ORD,20220.0,32829.0,12609.0,10809.0,2802,8,6,05:37 -> 09:07,,0
4,T01,F04,C01,ORD,ATL,52521.0,56913.0,4392.0,2591.99999978866,976,8,6,14:35 -> 15:48,,0
5,T01,F05,C02,ATL,JFK,78928.0,84427.0,5499.0,3699.000000249963,1222,8,6,21:55 -> 23:27,,0
6,T02,F06,C03,DFW,JFK,20880.0,30933.0,10053.0,8252.999997129089,2234,8,6,05:48 -> 08:35,,0
7,T02,F18,C03,JFK,DFW,44200.0,54253.0,10053.0,8252.999998221685,2234,8,6,12:16 -> 15:04,,0
8,T02,F19,C09,DFW,LAX,57504.0,66427.0,8923.0,7123.000000289903,1983,8,6,15:58 -> 18:27,,0
9,T03,F09,C05,JFK,ATL,20880.0,26379.0,5499.0,3698.999999671451,1222,8,6,05:48 -> 07:19,,0
10,T03,F10,C05,ATL,JFK,39696.0,45195.0,5499.0,3698.999999657878,1222,8,8,11:01 -> 12:33,,0
11,T03,F11,C05,JFK,ORD,56560.0,61901.0,5341.0,3540.9999996208658,1187,8,6,15:42 -> 17:11,,0
12,T03,F12,C06,ORD,DFW,82229.0,88034.0,5805.0,4004.9999993783563,1290,8,6,22:50 -> 00:27 (+1),,0
13,T04,F13,C07,ATL,DFW,20460.0,25743.0,5283.0,3482.9999997350633,1174,8,6,05:41 -> 07:09,,0
14,T04,F14,C07,DFW,ATL,32699.0,37982.0,5283.0,3482.999999794889,1174,8,6,09:04 -> 10:33,,0
15,T04,F15,C01,ATL,JFK,66074.0,71573.0,5499.0,3699.000000356841,1222,8,6,18:21 -> 19:52,,0
16,T05,F16,C08,JFK,ATL,20220.0,25719.0,5499.0,3699.0000000610735,1222,8,6,05:37 -> 07:08,,0
17,T05,F17,C08,ATL,JFK,40951.0,46450.0,5499.0,3698.999999688518,1222,8,4,11:22 -> 12:54,03:00,1
18,T05,F07,C08,JFK,DFW,69990.0,80043.0,10053.0,8252.999999118087,2234,8,6,19:26 -> 22:14,02:00,1
19,T05,F08,C04,DFW,LAX,82063.0,90986.0,8923.0,7122.99999983284,1983,8,6,22:47 -> 01:16 (+1),,0
